"","Site_ID","FID_1","Datst_1","Mj_ID_1","Site_Nm","EJZ1","EJZ1_2","EJZ2","NINV","EJZ3a","EJZ3","EJZ3b","AKK","EJZ4","EJZ4C","LTM","EBA_FCP","KHA","MBA_LBA","NUZI","LBA","SM","MASS","EIA_FCP","LASS","MIA_FCP","EIA_MIA","IA","IA_FCP","LIA","PASS","POINT_X","POINT_Y","cnfdnc_","EBA1","EBA2","MBA","LBA_brd","IA1","IA2","Tuna_sz","Tn_plyg","Name","POINT_Z","Size","Period","Tuna","id","sizeCat","number"
"60","TBS_11",983,"TBS","TBS_11_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394099,0,0,0,0,0,0.394099,0,0,0,0,648513.2435,4064926.5073,0.394099,0,0,0,0.394099,0.394099,0.394099,0,NA,"",NA,0.394099,"LBA,IA1,IA2",NA,306,1,307907
"61","TBS_13",944,"TBS","TBS_13_0_0","Khirbet Sha'ib",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,0,1.77,0,0,0,0,653395.699,4068207.6711,1.77,0,0,0,1.77,1.77,1.77,0,NA,"",NA,1.77,"LBA,IA1,IA2",NA,307,2,279707
"62","TBS_14",945,"TBS","TBS_14_0_0","Qariyat Sewad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,652959.5049,4066897.6069,0.77,0,0,0,0,0.77,0.77,0,NA,"",NA,0.77,"IA1,IA2",NA,308,1,430052
"63","TBS_16",946,"TBS","TBS_16_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5401,0.5401,0,0,0,0,0,0,643713.150633333,4059961.39176667,0.5401,0,0,0,0,0.5401,0.5401,0,NA,"",NA,0.5401,"IA1,IA2",NA,309,1,487278
"64","TBS_18",947,"TBS","TBS_18_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.77,0,0,0,0,0,0,644743.6228,4059081.6178,0.77,0,0,0,0,0.77,0.77,0,NA,"",NA,0.77,"IA1,IA2",NA,310,1,236250
"65","TBS_21",948,"TBS","TBS_21_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,648640.3705,4060896.219,1.77,0,0,0,0,1.77,1.77,0,NA,"",NA,1.77,"IA1,IA2",NA,311,2,320017
"66","TBS_22",949,"TBS","TBS_22_0_0","Tell Bergui al-Buz",0,0,0,0.9901,0,0,0,0,0,0,0.7901,0.7901,0,0,0,2.2181,0,0,0,0,0,2.2181,0,0,0,0,651543.4758,4062195.51755,2.2181,0.9901,0.7901,0,2.2181,2.2181,2.2181,1.4341866595e-05,92,"",NA,2.2181,"EBA1,EBA2,LBA,IA1,IA2",NA,312,2,32617
"67","TBS_23",950,"TBS","TBS_23_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,635298.9105,4064487.746,0.35,0,0,0,0,0.35,0.35,0,NA,"",NA,0.35,"IA1,IA2",NA,313,1,554454
"68","TBS_25",952,"TBS","TBS_25_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,646112.2998,4068643.1122,1.88,0,0,0,0,1.88,1.88,0,NA,"",NA,1.88,"IA1,IA2",NA,315,2,498024
"69","TBS_27",953,"TBS","TBS_27_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,644254.1142,4068610.4477,0.63,0,0,0,0,0.63,0.63,0,NA,"",NA,0.63,"IA1,IA2",NA,316,1,431907
