Site_ID,FID_1,Datst_1,Mj_ID_1,Site_Nm,EJZ1,EJZ1_2,EJZ2,NINV,EJZ3a,EJZ3,EJZ3b,AKK,EJZ4,EJZ4C,LTM,EBA_FCP,KHA,MBA_LBA,NUZI,LBA,SM,MASS,EIA_FCP,LASS,MIA_FCP,EIA_MIA,IA,IA_FCP,LIA,PASS,POINT_X,POINT_Y,cnfdnc_,EBA1,EBA2,MBA,LBA_brd,IA1,IA2,Tuna_sz,Tn_plyg,Name,POINT_Z,Size,Period,Tuna,number
TBS_30,955,TBS,TBS_30_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,643894.9161,4069912.2744,1,0,0,0,0,1.77,1.77,0,,,,1.77,"IA1,IA2",,113789
TBS_31,956,TBS,TBS_31_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1301,0,0,0,0,643320.6983,4073107.229,1,0,0,0,0,1.1301,1.1301,0,,,,1.1301,"IA1,IA2",,144868
TBS_31,956,TBS,TBS_31_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1301,0,0,0,0,643320.6983,4073107.229,1,0,0,0,0,1.1301,1.1301,0,,,,1.1301,"IA1,IA2",,146965
TBS_31,956,TBS,TBS_31_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1301,0,0,0,0,643320.6983,4073107.229,1,0,0,0,0,1.1301,1.1301,0,,,,1.1301,"IA1,IA2",,169709
TBS_32,940,TBS,TBS_32_0_0,(Tell Khatun),0,0,0,1.7701,0,0,0,0,0,0,1.7701,0,0,0,0,0,0,0,0,0,0,3.5401,0,0,0,0,645443.3789,4071816.54553333,1,1.7701,1.7701,0,0,3.5401,3.5401,2.804518521e-006,904,,,3.5401,"EBA1,EBA2,IA1,IA2",,182872
TBS_37,958,TBS,TBS_37_0_0,(Tell Ghazal),0,0,0,0,0,0,0,0,0,0,1.3301,0,0,1.1301,0,0,0,0,0,0,0,1.1301,0,0,0,0,647928.8281,4076458.72126667,1,0,1.3301,1.1301,1.1301,1.1301,1.1301,7.36088026e-007,661,,,1.3301,"EBA2,MBA,LBA,IA1,IA2",,119137
TBS_39,959,TBS,TBS_39_0_0,(Tell Sekar Fawqani),0,0,0,0,0,0,0,0,0,0,4.9101,0,0,0,0,4.9101,0,0,0,0,0,4.9101,0,0,0,0,642041.7107,4079104.71145,1,0,4.9101,0,4.9101,4.9101,4.9101,7.295937285e-006,326,,,4.9101,"EBA2,LBA,IA1,IA2",,171065
TBS_4,975,TBS,TBS_4_0_0,(Tell Rajab),0,0,0,0,0,0,0,0,0,0,4.7801,4.0801,0,0,0,0,0,0,0,0,0,1.2001,0,0,0,0,642686.35135,4063957.68025,1,4.0801,4.7801,0,0,1.2001,1.2001,1.6865961852e-005,633,,,4.7801,"EBA1,EBA2,IA1,IA2",,91835
TBS_41,976,TBS,TBS_41_0_0,(Tell Sekar Tahtani),0,0,0,0,0,0,0,0,0,0,2.714099,0,0,0,0,2.300099,0,0,0,0,0,0.9061,0.589099,0.9351,0,0,642922.374633333,4074513.54753333,1,0,2.714099,0,2.300099,0.9061,0.9061,1.2541084406e-005,115,,,2.714099,"EBA2,LBA,IA1,IA2",,172922
TBS_42,977,TBS,TBS_42_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.878098,0,0,0,0,0,2.878098,0,0,2.878098,0,641878.943825,4072580.7102,1,0,0,0,2.878098,2.878098,2.878098,0,,,,2.878098,"LBA,IA1,IA2",,178766
