Site_ID,FID_1,Dataset_1,Major_ID_1,Tuna_area_1,Site_Name,EJZ1,EJZ1_2,EJZ2,NINV,EJZ3a,EJZ3,EJZ3b,AKK,EJZ4,EJZ4C,LTM,EBA_FCP,KHA,MBA_LBA_T,NUZI,LBA,SM,MASS,EIA_FCP,LASS,MIA_FCP,EIA_MIA_FC,IA,IA_FCP,LIA,PASS,POINT_X,POINT_Y
LLN_231,109,LLN,LLN_231_0_0,0,Aweinat ibn Harshan,0,0,0,0,0,0,0,0,0,0,0,0,11.04,0,0,0,0,11.04,0,0,0,0,0,0,0,0,718243.8019,4060630.3297
LLN_233,79,LLN,LLN_233_0_0,0,Aweinat ibn Harshan 3,0,0,0,0,0,0,0,0,0,0,0,0,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,716787.8421,4060936.3149
LLN_236,40,LLN,LLN_236_0_0,2.3845510714,Bouwaitikh North,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,734287.4636,4073858.9174
LLN_237,80,LLN,LLN_237_0_0,9.80143427778,Zahara,0,0,0,0,0,0,0,0,0,0,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,714914.316,4052610.779
LLN_238,104,LLN,LLN_238_0_0,0,Dabagh,0,0,0,0,0,9.45,0,9.45,0,0,0,0,9.45,0,0,0,0,0,0,0,0,0,0,0,0,0,712748.6811,4055071.375
LLN_24,133,LLN,LLN_24_0_0,0,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,714493.3719,4067350.1414
LLN_240,103,LLN,LLN_240_0_0,0,Taif,0,0,0,0,0,0,0,0,0,0,0,0,7.29,0,0,0,0,0,0,0,0,0,0,0,0,0,712092.1453,4054939.6447
LLN_241,81,LLN,LLN_241_0_0,7.44048887847,Dumdum,0,0,0,0,0,27.52537772,0,27.52537772,0,0,0,0,27.52537772,0,27.52537772,0,0,27.52537772,0,0,0,0,0,0,0,0,706722.1879,4053281.154
LLN_245,42,LLN,LLN_245_0_0,2.62669315069,Gibsi,0,0,0,0,0,0,0,0.405,0,0,0,0,0.405,0,0,0,0,0.405,0,0,0,0,0,0,0,0,712801.8133,4065980.0827
LLN_246,41,LLN,LLN_246_0_0,0,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712555.6507,4066484.6893
LLN_248,113,LLN,LLN_248_0_0,0,Gasi West,0,0,0,0,0,0,0,0,0,0,0,0,3.36,0,3.36,0,0,0,0,0,0,0,0,0,0,0,713324.8514,4064576.3173
LLN_249,179,LLN,LLN_249_0_0,0,Gasi,0,0,0,0,0,0,0,0,0,0,0,0,2.405,0,0,0,0,0,0,0,0,0,0,0,0,0,722085.7644,4085580.2128
LLN_25,134,LLN,LLN_25_0_0,0,Barham Qadim,0,0,0,0,0,5.45,0,0,0,0,0,0,5.45,0,0,0,0,0,0,0,0,0,0,0,0,0,724253.1637,4095957.3252
LLN_250,43,LLN,LLN_250_0_0,0,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714163.6574,4065689.5661
LLN_251,82,LLN,LLN_251_0_0,17.8917744753,Hamis,0,0,0,0,0,0,0,9.9,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,714217.9214,4070535.8954
LLN_254,136,LLN,LLN_254_0_0,0,Aweinat ibn Harshan 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721276.6114,4061831.8205
