L1,OBJECTID_1,hw_type,Corrected,Shape_Leng,angle,angle_abs,startX,midX,endX,startY,midY,endY
2656,2530,"2","1",1035.08036887,0.00769606112926526,0.00769606112926526,641493.1017,641953.728959028,642417.6476,4062381.8289,4062616.7512147,4062841.3899
2657,2531,"2","1",780.98344912,0.0130362637533336,0.0130362637533336,641686.6165,641653.991992917,641652.2149,4064478.727,4064867.83344637,4065257.6775
2658,2532,"1","1",2002.18834991,0.00464277820402066,0.00464277820402066,644455.6966,645447.476297915,646416.1139,4060985.7497,4061043.80337372,4061262.6196
2659,2533,"2","1",1020.21086137,0.0153995778548358,0.0153995778548358,651159.4639,650937.569867201,650713.6892,4063649.7305,4064108.98098601,4064567.1635
2660,2534,"2","1",538.51027581,0.00830015170834818,0.00830015170834818,650614.9037,650509.431282146,650402.0823,4064789.6156,4065037.35315945,4065284.2816
2661,2535,"2","1",518.271729807,0.00809915677077733,0.00809915677077733,649582.234,649495.358473338,649395.2962,4067128.316,4067372.44067589,4067611.4782
2662,2536,"2","1",493.515768355,0.00790436372924194,0.00790436372924194,649337.7769,649254.594117034,649196.8546,4067740.8967,4067973.1893489,4068212.555
2663,2537,"1","1",796.287865796,0.00746039872333987,0.00746039872333987,612271.6999,612596.552402993,612927.6503,4065334.076,4065563.88444571,4065783.7527
2664,2538,"2","1",397.507906225,0.00609131449789821,0.00609131449789821,650781.7219,650700.76655,650619.8112,4065217.5552,4065399.0748,4065580.5944
2665,2539,"2","1",815.083475315,-0.0135247298059517,179.986475270194,648956.6708,648898.492390044,648851.0424,4071736.211,4071333.22091665,4070928.4509
2666,2540,"2","1",699.451123349,-0.0110939574914719,179.988906042509,648091.1159,647971.315739187,647868.5596,4070405.1705,4070076.60908407,4069742.6495
2667,2541,"2","1",769.768955158,0.010066841932217,0.010066841932217,649669.8432,649428.517507918,649188.697,4066498.4071,4066798.08926966,4067098.8478
2668,2542,"2","1",295.114860188,0.00328481375276627,0.00328481375276627,648581.617,648471.32945,648361.0419,4068181.6784,4068279.70825,4068377.7381
2669,2543,"2","1",323.304610393,0.00519410012826457,0.00519410012826457,648144.5605,648099.25155,648053.9426,4071234.0579,4071389.2306,4071544.4033
2670,2544,"2","0",394.983747643,0.00633005666762847,0.00633005666762847,647984.8311,647935.942838175,647872.4417,4071723.7144,4071915.05958045,4072102.012
2671,2545,"2","1",236.001729378,0.00379166837423647,0.00379166837423647,647916.1572,647883.1292,647850.1012,4071363.4726,4071476.757,4071590.0414
2672,2546,"2","1",395.489351955,0.00647529873671543,0.00647529873671543,647700.2468,647659.59725,647618.9477,4072009.2985,4072202.82,4072396.3415
2673,2547,"2","1",578.709575956,-0.00887044907838896,179.991129550922,647269.8907,647393.576747148,647500.472,4073803.3288,4073541.74142441,4073272.92
2674,2548,"2","1",714.915103672,-0.0113366548513112,179.988663345149,647176.2333,647289.838222503,647403.4432,4073722.3697,4073383.44519078,4073044.5207
2675,2549,"0","1",825.563955039,0.00835599526525567,0.00835599526525567,661764.6734,662129.455836702,662405.2753,4049109.6703,4049302.55130485,4049603.7515
2676,2550,"0","0",524.973220649,0.00553267872113563,0.00553267872113563,662817.5775,663031.722138527,663226.4723,4050063.7582,4050214.97805403,4050390.874
2677,2551,"1","1",1521.84962112,-0.0141150900974402,179.985884909903,647221.6485,646611.123639127,645957.482,4050608.9512,4050154.83176474,4049770.7169
2678,2552,"2","1",655.361508125,-0.00150104566821369,179.998498954332,692138.1345,692462.82387961,692787.5164,4057016.1014,4056971.98066525,4056927.95
2679,2553,"2","1",1088.82673582,0.00145137676451062,0.00145137676451062,693063.724,693604.369705006,694147.986,4056919.1348,4056979.22724512,4057004.3478
2680,2554,"2","1",788.597200901,-0.000500656351711016,179.999499343648,694253.7676,694647.158569445,695041.2533,4057004.3478,4056983.85746582,4056974.964
2681,2555,"0","1",3609.58601147,-0.00539567846305005,179.994604321537,695852.246,697640.996651962,699438.0011,4057042.5468,4056856.70940747,4056726.0454
