Site_ID,FID_1,Datst_1,Mj_ID_1,Site_Nm,EJZ1,EJZ1_2,EJZ2,NINV,EJZ3a,EJZ3,EJZ3b,AKK,EJZ4,EJZ4C,LTM,EBA_FCP,KHA,MBA_LBA,NUZI,LBA,SM,MASS,EIA_FCP,LASS,MIA_FCP,EIA_MIA,IA,IA_FCP,LIA,PASS,POINT_X,POINT_Y,cnfdnc_,EBA1,EBA2,MBA,LBA_brd,IA1,IA2,Tuna_sz,Tn_plyg,Name,POINT_Z,Size,Period,Tuna,number
LLN_9,160,LLN,LLN_9_0_0,Rehaya 1,0,0,0,4.9875,0,0,0,0,0,0,4.9875,0,4.9875,0,0,0,0,0,0,0,0,0,0,0,0,0,724228.542,4094017.257,1,4.9875,4.9875,4.9875,0,0,0,0,,,,4.9875,"EBA1,EBA2,MBA",,145984
LLN_96,65,LLN,LLN_96_0_0,Koubeiba,2.64,0,0,0,0,2.64,0,0,0,0,0,0,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,711985.8713,4088044.6113,1,2.64,2.64,2.64,0,0,0,7.666289425e-006,758,,,2.64,"EBA1,EBA2,MBA",,187308
NJS_1,380,NJS,NJS_1_0_0,(Tell el-Hawa),0,0,0,0,0,0,0,0,0,0,65.5001,0,65.5001,0,0,0,0,16.0001,0,0,0,0,0,0,0,0,794811.300267857,4071801.74049643,1,0,65.5001,65.5001,16.0001,16.0001,0,3.3357589612e-005,290,,,65.5001,"EBA2,MBA,LBA,IA1",,107732
NJS_127,324,NJS,NJS_127_0_0,(Abu Kula),0,0,0,5.0002,0,0,0,0,0,0,5.0003,0,5.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,797428.27472,4063270.8198,1,5.0002,5.0003,5.0003,0,0,0,4.2939909816e-005,21,,,5.0003,"EBA1,EBA2,MBA",,144753
NJS_131,328,NJS,NJS_131_0_0,,0,0,0,0,0,0,0,0,0,0,0.9001,0,0.9001,0,0,0,0,0.5001,0,0.9001,0,0,0,0,0,0,783846.5652,4074229.2149,1,0,0.9001,0.9001,0.5001,0.5001,0.9001,0,,,,0.9001,"EBA2,MBA,LBA,IA1,IA2",,114209
NJS_140,337,NJS,NJS_140_0_0,(Tell Mana'a),0,0,0,0,0,0,0,0,0,0,1.0001,0,8.0001,0,0,0,0,3.5001,0,3.0001,0,0,0,0,0,0,781037.059114286,4064157.06055714,1,0,1.0001,8.0001,3.5001,3.5001,3.0001,2.6177195322e-005,793,,,8.0001,"EBA2,MBA,LBA,IA1,IA2",,111792
NJS_152,349,NJS,NJS_152_0_0,,0,0,0,0,0,0,0,0,0,0,0.5001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778185.033325,4073338.8266,1,0,0.5001,0,0,0,0,0,,,,0.5001,EBA2,,79550
NJS_155,386,NJS,NJS_155_0_0,(Tell Hayal),0,0,0,0,0,0,0,0,0,0,2.0001,0,2.4001,0,0,0,0,2.0001,0,1.0001,0,0,0,0,0,0,783598.987275,4077589.140125,1,0,2.0001,2.4001,2.0001,2.0001,1.0001,2.4628669236e-005,751,,,2.4001,"EBA2,MBA,LBA,IA1,IA2",,105612
NJS_175,369,NJS,NJS_175_0_0,,0,0,0,0,0,0,0,0,0,0,1.0001,0,1.0001,0,0,0,0,0,0,0.5001,0,0,0,0,0,0,774562.04775,4071957.0438,1,0,1.0001,1.0001,0,0,0.5001,7.608985787e-006,863,,,1.0001,"EBA2,MBA,IA2",,123432
NJS_177,372,NJS,NJS_177_0_0,,0,0,0,1.0001,0,0,0,0,0,0,1.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769895.53535,4069181.34455,1,1.0001,1.0001,0,0,0,0,1.2025807746e-005,487,,,1.0001,"EBA1,EBA2",,142854
NJS_20,225,NJS,NJS_20_0_0,,0,0,0,0,0,0,0,0,0,0,2.8001,0,2.8001,0,0,0,0,1.1001,0,4.7001,0,0,0,0,0,0,792508.4716375,4068629.8385,1,0,2.8001,2.8001,1.1001,1.1001,4.7001,1.0799094737e-005,851,,,4.7001,"EBA2,MBA,LBA,IA1,IA2",,165790
NJS_29,235,NJS,NJS_29_0_0,,0,0,0,8.9001,0,0,0,0,0,0,8.9001,0,8.9002,0,0,0,0,0.0003,0,0.0003,0,0,0,0,0,0,790366.5326,4073810.72766,1,8.9001,8.9001,8.9002,0.0003,0.0003,0.0003,0,,,,8.9002,"EBA1,EBA2,MBA,LBA,IA1,IA2",,65469
NJS_40,244,NJS,NJS_40_0_0,,0,0,0,0.5001,0,0,0,0,0,0,1.9001,0,0,0,0,0,0,0,0,0.5001,0,0,0,0,0,0,805213.149466667,4071386.20273333,1,0.5001,1.9001,0,0,0,0.5001,0,,,,1.9001,"EBA1,EBA2,IA2",,146189
