"","Site_ID","FID_1","Datst_1","Mj_ID_1","Site_Nm","EJZ1","EJZ1_2","EJZ2","NINV","EJZ3a","EJZ3","EJZ3b","AKK","EJZ4","EJZ4C","LTM","EBA_FCP","KHA","MBA_LBA","NUZI","LBA","SM","MASS","EIA_FCP","LASS","MIA_FCP","EIA_MIA","IA","IA_FCP","LIA","PASS","POINT_X","POINT_Y","cnfdnc_","EBA1","EBA2","MBA","LBA_brd","IA1","IA2","Tuna_sz","Tn_plyg","Name","POINT_Z","Size","Period","Tuna","number","id"
"67","NJS_58",262,"NJS","NJS_58_0_0","",0,0,0,9.9001,0,0,0,0,0,0,0.4001,0,0.3001,0,0,0,0,0,0,2.5001,0,0,0,0,0,0,799045.973933333,4065838.78326667,1,9.9001,0.4001,0.3001,0,0,2.5001,3.995863338e-06,565,"",NA,9.9001,"EBA1,EBA2,MBA,IA2",NA,5737,278
"68","NJS_59",263,"NJS","NJS_59_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,797421.5011,4065575.1507,1,0,0,0,0,0,1,0,NA,"",NA,1,"IA2",NA,72235,279
"69","NJS_59",263,"NJS","NJS_59_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,797421.5011,4065575.1507,1,0,0,0,0,0,1,0,NA,"",NA,1,"IA2",NA,134831,279
"70","NJS_59",263,"NJS","NJS_59_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,797421.5011,4065575.1507,1,0,0,0,0,0,1,0,NA,"",NA,1,"IA2",NA,143929,279
"71","NJS_60",264,"NJS","NJS_60_0_0","",0,0,0,7.9001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7001,0,0,0,0,0,0,795941.742725,4065839.778375,1,7.9001,0,0,0,0,0.7001,0,NA,"",NA,7.9001,"EBA1,IA2",NA,113179,280
"72","NJS_61",265,"NJS","NJS_61_0_0","",0,0,0,1.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0,0,0,0,0,0,795219.7519,4066536.4173,1,1.0001,0,0,0,0,1.0001,0,NA,"",NA,1.0001,"EBA1,IA2",NA,156459,281
"73","NJS_63",267,"NJS","NJS_63_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2001,0,0,0,0,0,0,792912.5622,4065183.8181,1,0,0,0,0,0,1.2001,1.690079842e-06,684,"",NA,1.2001,"IA2",NA,162979,282
"74","NJS_69",273,"NJS","NJS_69_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8001,0,0.8001,0,0,0,0,0,0,793720.08656,4063013.58106,1,0,0,0,0.8001,0.8001,0.8001,0,NA,"",NA,0.8001,"LBA,IA1,IA2",NA,139154,283
"75","NJS_73",277,"NJS","NJS_73_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1.5001,0,0,0,0,1.5001,0,2.3001,0,0,0,0,0,0,789214.4367,4076534.1259,1,0,0,1.5001,1.5001,1.5001,2.3001,0,NA,"",NA,2.3001,"MBA,LBA,IA1,IA2",NA,153050,287
"76","NJS_74",278,"NJS","NJS_74_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,2.0001,0,0,0,0,0,0,1.0001,0,0,0,0,0,0,786919.18424,4069467.02312,1,0,0,2.0001,0,0,1.0001,0,NA,"",NA,2.0001,"MBA,IA2",NA,152577,288
"77","NJS_76",280,"NJS","NJS_76_0_0","",0,0,0,0,0,0,0,0,0,0,0.5001,0,0,0,0,0,0,0,0,1.0001,0,0,0,0,0,0,786231.43364,4070174.14284,1,0,0.5001,0,0,0,1.0001,0,NA,"",NA,1.0001,"EBA2,IA2",NA,110192,289
"78","NJS_79",283,"NJS","NJS_79_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3001,0,0,0,0,0,0,788506.505,4071915.31676667,1,0,0,0,0,0,2.3001,0,NA,"",NA,2.3001,"IA2",NA,166986,290
"79","NJS_80",284,"NJS","NJS_80_0_0","",0,0,0,0.6001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6001,0,0,0,0,0,0,787446.558875,4072342.076175,1,0.6001,0,0,0,0,0.6001,0,NA,"",NA,0.6001,"EBA1,IA2",NA,151873,291
"80","NJS_83",287,"NJS","NJS_83_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,3.0001,0,0,0,0,0,0,3.0001,0,0,0,0,0,0,788766.520616667,4070772.74528333,1,0,0,3.0001,0,0,3.0001,0,NA,"",NA,3.0001,"MBA,IA2",NA,55531,292
